Title,Organization_name,Type,Traded as,ISIN,Industry,Predecessors,Headquarters,Area served,Key people,Products,Revenue,Operating income,Net income,Total assets,Total equity,Number of employees,Parent,Subsidiaries,Website
Autonomous University of Barcelona,Universitat Autònoma de Barcelona,Public University,,,,,,,,,,,,,,,,,www.uab.cat
Canadian Luge Association,Canadian Luge Association,,,,,,,,,,,,,,,,,,
Brown University,Brown University,Private,,,,,,,,,,,,,,,,,brown.edu
Mitsui & Co.,"Mitsui & Co., Ltd. ",Public (KK),TYO : 8031 TOPIX Core 30 Component,JP3893600001,['Trading Companies'],,"Tokyo, Japan",141 Offices in 66 Countries / Regions (2015),['Masami Iijima (Chairman) Tatsuo Yasunaga (President and CEO)'],"Iron & steel products, Mineral & metal resources, Infrastructure projects, Chemicals, Energy, Food Products & Services, Consumer Services, IT & Communication Business","Yen 5,738 billion (2008)",Yen 375 billion (2008),Yen 410 billion (2008),,,"6,006 (Consolidated:47,118) (2015)",Mitsui Group,"['279 Subsidiaries', ' 166 Equity Accounted Investees (2015)']",www.mitsui.com/jp/en/index.html
Microsoft,Microsoft Corporation,Public,"NASDAQ: MSFT, NASDAQ-100 component, DJIA component, S&P 100 component, S&P 500 component",US5949181045,"['Software development', ' Computer hardware', ' Consumer electronics', ' Social networking service', ' Cloud computing', ' Video games', ' Internet', ' Corporate venture capital']",,"One Microsoft Way, Redmond, Washington, U.S.",Worldwide,"['John W. Thompson(chairman)', ' Satya Nadella(CEO)', ' Brad Smith(president)', ' Bill Gates(technical advisor)']","Windows, Office, Servers, Skype, Visual Studio, Dynamics, Xbox, Surface, Mobile, List of software",US$ 125.8 billion (2019),US$43.0 billion (2019),US$39.2 billion (2019),US$286.55 billion (2019),US$102.33 billion (2019),"148,465 (2019)",none,,www.microsoft.com
Safran Electronics & Defense,Safran Electronics & Defense,Subsidiary company,,,"['Solutions and services in optronics', ' avionics', ' electronics and critical software for both civil and military markets.']",,"Boulogne-Billancourt, France",Worldwide,,,"€1,275 million (at 31 December 2015)",,,,,"7,600 (at 31 December 2015)",Safran,"['Optics 1', ' Inc Safran REOSC Robonic Oy Safran Colibrys SA Safran Electronics & Defense Asia Pte Ltd Safran Electronics & Defense', ' Avionics USA', ' LLC Safran Electronics & Defense Brazil Ltda Safran Electronics & Defense Canada Inc. Safran Electronics & Defense Services India Pvt Ltd Sagem Navigation Germany GmbH Vectronix AG Vectronix Inc.']",http://www.safran-electronics-defense.com/
Canon Inc.,Canon Inc.,Public (K.K.),"TYO: 7751, NYSE: CAJ, TOPIX Core 30 Component",JP3242800005,['Electronics'],,"Ōta, Tokyo, Japan",Worldwide,"['Fujio Mitarai (Chairman & CEO)', ' Masaya Maeda (President & COO)']","SLR cameras, Still cameras, Photocopiers, Digital cameras, Camcorders, Printers, Scanners, Lenses, LCDs, Ophthalmic instruments, Magnetic heads, Micro motors, Other office supplies",¥3.401 trillion (2016),¥228.8 billion (2016),¥150.6 billion (2016),¥5.138 trillion (2016),¥2.783 trillion (2016),"197,673 (2017)",,['Océ'],http://global.canon/
Loma Linda University,Loma Linda University,Private,,,,,,,,,,,,,,,,,www.llu.edu
Rahul Shah,,,,,,,,,,,,,,,,,,,
Shimadzu,Shimadzu Corporation,Public KK,TYO : 7701 OSE : 7701,JP3357200009,['Precision Instruments'],,"1, Nishinokyo-Kuwabara-cho, Nakagyo-ku, Kyoto 604-8511, Japan",Worldwide,"['Akira Nakamoto', ' (CEO and President)']","Scientific, medical, aircraft and industrial instruments",$ 2.8 billion (FY 2012) (¥ 264.048 billion) (FY 2012),,$ 80.6 million (FY 2012) (¥ 7.578 billion) (FY 2012),,,"10,395 (as of March 31, 2013)",,,Official website
